file,issue_type,details
2001/rcaveman.html,missing_director,No Director listed in film-credits
2001/rcaveman.html,missing_imdb_link,No IMDB link in film card
2001/rcaveman.html,missing_poster_reference,No poster image reference found
2001/rchunghyang.html,missing_director,No Director listed in film-credits
2001/rcrazy.html,thin_content,Modern content is 40% of legacy length (1507 vs 3763 chars)
2001/rdarkblueworld.html,thin_content,Modern content is 20% of legacy length (861 vs 4198 chars)
2001/rdevils.html,missing_director,No Director listed in film-credits
2001/rdevils.html,missing_imdb_link,No IMDB link in film card
2001/rdevils.html,missing_poster_reference,No poster image reference found
2001/rdevils.html,thin_content,Modern content is 32% of legacy length (2049 vs 6267 chars)
2001/rdont.html,missing_director,No Director listed in film-credits
2001/rdont.html,missing_imdb_link,No IMDB link in film card
2001/rdont.html,missing_poster_reference,No poster image reference found
2001/reloge.html,missing_director,No Director listed in film-credits
2001/reloge.html,missing_imdb_link,No IMDB link in film card
2001/reloge.html,missing_poster_reference,No poster image reference found
2001/rfulltime.html,missing_imdb_link,No IMDB link in film card
2001/rfulltime.html,missing_poster_reference,No poster image reference found
2001/rhedwig.html,thin_content,Modern content is 48% of legacy length (3087 vs 6358 chars)
2001/rhpotter.html,missing_imdb_link,No IMDB link in film card
2001/rhpotter.html,missing_poster_reference,No poster image reference found
2001/rjazz.html,missing_imdb_link,No IMDB link in film card
2001/rkate.html,missing_imdb_link,No IMDB link in film card
2001/rkate.html,missing_poster_reference,No poster image reference found
2001/rknight.html,missing_director,No Director listed in film-credits
2001/rknight.html,missing_imdb_link,No IMDB link in film card
2001/rknight.html,missing_poster_reference,No poster image reference found
2001/rliam.html,missing_imdb_link,No IMDB link in film card
2001/rliam.html,missing_poster_reference,No poster image reference found
2001/rlumumba.html,missing_imdb_link,No IMDB link in film card
2001/rmccool.html,missing_imdb_link,No IMDB link in film card
2001/rmccool.html,missing_poster_reference,No poster image reference found
2001/rnomans.html,missing_director,No Director listed in film-credits
2001/rnomans.html,missing_imdb_link,No IMDB link in film card
2001/rnomans.html,missing_poster_reference,No poster image reference found
2001/roceans11.html,missing_director,No Director listed in film-credits
2001/roceans11.html,missing_imdb_link,No IMDB link in film card
2001/roceans11.html,missing_poster_reference,No poster image reference found
2001/rsay.html,missing_director,No Director listed in film-credits
2001/rsay.html,missing_imdb_link,No IMDB link in film card
2001/rsay.html,missing_poster_reference,No poster image reference found
2001/rsweethearts.html,missing_imdb_link,No IMDB link in film card
2001/rsweethearts.html,missing_poster_reference,No poster image reference found
2001/rvacuum.html,missing_director,No Director listed in film-credits
2001/rvacuum.html,missing_imdb_link,No IMDB link in film card
